tags: darakwon 11-과

[sound:결혼식.mp3]	결혼식	cérémonie de mariage

[sound:자연스럽다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">자연스럽다 <span class="발음">[자연스럽<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div></div>	être naturel, sans affectation</p><ul><li>adjectif irrégulier en “ㅂ”&nbsp;: ㅂ devient 오 devant la voyelle 아 et 우 devant toute autre voyelle</li></ul>
[sound:자연스럽게.mp3]	자연스럽게	naturellement, sans affectation<ul><li>forme adverbiale de <span class="em">자연스럽다</span> (être naturel, sans affectation)</li><br><li>le suffixe adverbial <span class="em">-게</span> attaché à un adjectif transforme cet adjectif en adverbe&nbsp;; ex.&nbsp;: 맛있다 &rarr; 맛있게 (맛있게 드세요, bon appétit)</li></ul>
[sound:자연스러워요.mp3]	자연스러<span class="불규칙">워</span>요<p class="small">(*자연스러<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">자연스럽다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">자연스러워요</div><div class="과거">자연스러웠어요</div><div class="미래">자연스러울 거예요</div></div><div class="bloc"><div class="고">자연스럽고</div><div class="지만">자연스럽지만</div><div class="는데">자연스러운데</div><div class="면">자연스러우면</div></div></div>	il est naturel, sans affectation<p class="small">(해요체, registre informel poli)</p>
[sound:자연스러웠어요.mp3]	자연스러<span class="불규칙">웠</span>어요<p class="small">(*자연스러<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">자연스럽다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">자연스러워요</div><div class="과거">자연스러웠어요</div><div class="미래">자연스러울 거예요</div></div><div class="bloc"><div class="고">자연스럽고</div><div class="지만">자연스럽지만</div><div class="는데">자연스러운데</div><div class="면">자연스러우면</div></div></div>	il était naturel, sans affectation<p class="small">(해요체, registre informel poli)</p>
[sound:자연스러울_거예요.mp3]	자연스러<span class="불규칙">울</span> 거예요<p class="small">(*자연스러<span class="불규칙">우을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">자연스럽다</div><div class="불규칙">(“ㅂ” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">자연스러워요</div><div class="과거">자연스러웠어요</div><div class="미래">자연스러울 거예요</div></div><div class="bloc"><div class="고">자연스럽고</div><div class="지만">자연스럽지만</div><div class="는데">자연스러운데</div><div class="면">자연스러우면</div></div></div>	il sera naturel, sans affectation<p class="small">(해요체, registre informel poli)</p>

[sound:재미없어요.mp3]	재미없어요 <span class="발음">[재미업써요]</span><div class="활용"><div class="bloc"><div class="부정사">재미없다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">재미없어요</div><div class="과거">재미없었어요</div><div class="미래">재미없을 거예요</div></div><div class="bloc"><div class="고">재미없고</div><div class="지만">재미없지만</div><div class="는데">재미없는데</div><div class="면">재미없으면</div></div></div>	il est inintéressant<p class="small">(해요체, registre informel poli)</p>

[sound:재미있어요.mp3]	재미있어요<div class="활용"><div class="bloc"><div class="부정사">재미있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">재미있어요</div><div class="과거">재미있었어요</div><div class="미래">재미있을 거예요</div></div><div class="bloc"><div class="고">재미있고</div><div class="지만">재미있지만</div><div class="는데">재미있는데</div><div class="면">재미있으면</div></div></div>	il est intéressant<p class="small">(해요체, registre informel poli)</p>
[sound:재미있었어요.mp3]	재미있었어요<div class="활용"><div class="bloc"><div class="부정사">재미있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">재미있어요</div><div class="과거">재미있었어요</div><div class="미래">재미있을 거예요</div></div><div class="bloc"><div class="고">재미있고</div><div class="지만">재미있지만</div><div class="는데">재미있는데</div><div class="면">재미있으면</div></div></div>	il était intéressant<p class="small">(해요체, registre informel poli)</p>
[sound:재미있을_거예요.mp3]	재미있을 거예요<div class="활용"><div class="bloc"><div class="부정사">재미있다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">재미있어요</div><div class="과거">재미있었어요</div><div class="미래">재미있을 거예요</div></div><div class="bloc"><div class="고">재미있고</div><div class="지만">재미있지만</div><div class="는데">재미있는데</div><div class="면">재미있으면</div></div></div>	il sera intéressant<p class="small">(해요체, registre informel poli)</p>

[sound:전화해요.mp3]	전화해요<div class="활용"><div class="bloc"><div class="부정사">전화하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">전화해요</div><div class="과거">전화했어요</div><div class="미래">전화할 거예요</div></div><div class="bloc"><div class="고">전화하고</div><div class="지만">전화하지만</div><div class="는데">전화하는데</div><div class="면">전화하면</div></div></div>	il téléphone<p class="small">(해요체, registre informel poli)</p>
[sound:전화했어요.mp3]	전화했어요<div class="활용"><div class="bloc"><div class="부정사">전화하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">전화해요</div><div class="과거">전화했어요</div><div class="미래">전화할 거예요</div></div><div class="bloc"><div class="고">전화하고</div><div class="지만">전화하지만</div><div class="는데">전화하는데</div><div class="면">전화하면</div></div></div>	il téléphonait<p class="small">(해요체, registre informel poli)</p>
[sound:전화할_거예요.mp3]	전화할 거예요<div class="활용"><div class="bloc"><div class="부정사">전화하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">전화해요</div><div class="과거">전화했어요</div><div class="미래">전화할 거예요</div></div><div class="bloc"><div class="고">전화하고</div><div class="지만">전화하지만</div><div class="는데">전화하는데</div><div class="면">전화하면</div></div></div>	il téléphonera<p class="small">(해요체, registre informel poli)</p>

[sound:조깅해요.mp3]	조깅해요<div class="활용"><div class="bloc"><div class="부정사">조깅하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">조깅해요</div><div class="과거">조깅했어요</div><div class="미래">조깅할 거예요</div></div><div class="bloc"><div class="고">조깅하고</div><div class="지만">조깅하지만</div><div class="는데">조깅하는데</div><div class="면">조깅하면</div></div></div>	il fait du jogging<p class="small">(해요체, registre informel poli)</p>
[sound:조깅했어요.mp3]	조깅했어요<div class="활용"><div class="bloc"><div class="부정사">조깅하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">조깅해요</div><div class="과거">조깅했어요</div><div class="미래">조깅할 거예요</div></div><div class="bloc"><div class="고">조깅하고</div><div class="지만">조깅하지만</div><div class="는데">조깅하는데</div><div class="면">조깅하면</div></div></div>	il faisait du jogging<p class="small">(해요체, registre informel poli)</p>
[sound:조깅할_거예요.mp3]	조깅할 거예요<div class="활용"><div class="bloc"><div class="부정사">조깅하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">조깅해요</div><div class="과거">조깅했어요</div><div class="미래">조깅할 거예요</div></div><div class="bloc"><div class="고">조깅하고</div><div class="지만">조깅하지만</div><div class="는데">조깅하는데</div><div class="면">조깅하면</div></div></div>	il fera du jogging<p class="small">(해요체, registre informel poli)</p>

[sound:좋아요.mp3]	좋아요 <span class="발음">[조아요]</span><div class="활용"><div class="bloc"><div class="부정사">좋다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">좋아요</div><div class="과거">좋았어요</div><div class="미래">좋을 거예요</div></div><div class="bloc"><div class="고">좋고</div><div class="지만">좋지만</div><div class="는데">좋은데</div><div class="면">좋으면</div></div></div>	il est bien (bon)<hr/>(il est) d'accord<p class="small">(해요체, registre informel poli)</p>
[sound:좋았어요.mp3]	좋았어요 <span class="발음">[조아써요]</span><div class="활용"><div class="bloc"><div class="부정사">좋다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">좋아요</div><div class="과거">좋았어요</div><div class="미래">좋을 거예요</div></div><div class="bloc"><div class="고">좋고</div><div class="지만">좋지만</div><div class="는데">좋은데</div><div class="면">좋으면</div></div></div>	il était bien (bon)<hr/>(il était) d'accord<p class="small">(해요체, registre informel poli)</p>
[sound:좋을_거예요.mp3]	좋을 거예요 <span class="발음">[조을]</span><div class="활용"><div class="bloc"><div class="부정사">좋다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">좋아요</div><div class="과거">좋았어요</div><div class="미래">좋을 거예요</div></div><div class="bloc"><div class="고">좋고</div><div class="지만">좋지만</div><div class="는데">좋은데</div><div class="면">좋으면</div></div></div>	il sera bien (bon)<hr/>(il sera) d'accord<p class="small">(해요체, registre informel poli)</p>

[sound:좋아해요.mp3]	좋아해요<div class="활용"><div class="bloc"><div class="부정사">좋아하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">좋아해요</div><div class="과거">좋아했어요</div><div class="미래">좋아할 거예요</div></div><div class="bloc"><div class="고">좋아하고</div><div class="지만">좋아하지만</div><div class="는데">좋아하는데</div><div class="면">좋아하면</div></div></div>	il aime<p class="small">(해요체, registre informel poli)</p>
[sound:좋아했어요.mp3]	좋아했어요<div class="활용"><div class="bloc"><div class="부정사">좋아하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">좋아해요</div><div class="과거">좋아했어요</div><div class="미래">좋아할 거예요</div></div><div class="bloc"><div class="고">좋아하고</div><div class="지만">좋아하지만</div><div class="는데">좋아하는데</div><div class="면">좋아하면</div></div></div>	il aimait<p class="small">(해요체, registre informel poli)</p>
[sound:좋아할_거예요.mp3]	좋아할 거예요<div class="활용"><div class="bloc"><div class="부정사">좋아하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">좋아해요</div><div class="과거">좋아했어요</div><div class="미래">좋아할 거예요</div></div><div class="bloc"><div class="고">좋아하고</div><div class="지만">좋아하지만</div><div class="는데">좋아하는데</div><div class="면">좋아하면</div></div></div>	il aimera<p class="small">(해요체, registre informel poli)</p>

[sound:죄송합니다.mp3]	죄송합니다<p class="발음">[죄송<span style="font-weight: bold">함</span>니다]</p><div class="활용"><div class="bloc"><div class="부정사">죄송하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">죄송합니다</div><div class="해요체">죄송해요</div></div><div class="과거">죄송했어요</div><div class="미래">죄송할 거예요</div></div><div class="bloc"><div class="고">죄송하고</div><div class="지만">죄송하지만</div><div class="는데">죄송한데</div><div class="면">죄송하면</div></div></div>	je suis désolé, navré&nbsp;; excusez-moi<p class="small">(하십시오체, registre formel poli)</p><ul><li>plus formel que 미안합니다</li></ul>
[sound:죄송해요.mp3]	죄송해요<div class="활용"><div class="bloc"><div class="부정사">죄송하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">죄송합니다</div><div class="해요체">죄송해요</div></div><div class="과거">죄송했어요</div><div class="미래">죄송할 거예요</div></div><div class="bloc"><div class="고">죄송하고</div><div class="지만">죄송하지만</div><div class="는데">죄송한데</div><div class="면">죄송하면</div></div></div>	je suis désolé, navré&nbsp;; excusez-moi<p class="small">(해요체, registre informel poli)</p><ul><li>plus formel que 미안해요</li></ul>
[sound:죄송했어요.mp3]	죄송했어요<div class="활용"><div class="bloc"><div class="부정사">죄송하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체">죄송합니다</div><div class="해요체">죄송해요</div></div><div class="과거">죄송했어요</div><div class="미래">죄송할 거예요</div></div><div class="bloc"><div class="고">죄송하고</div><div class="지만">죄송하지만</div><div class="는데">죄송한데</div><div class="면">죄송하면</div></div></div>	il était désolé, navré&nbsp;; il s'excusait<p class="small">(해요체, registre informel poli)</p><ul><li>plus formel que 미안했어요</li></ul>

[sound:줘요.mp3]	<span class="불규칙">줘</span>요<p class="small">(*<span class="불규칙">주어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사"><div class="높임">&#x21a1; 드리다</div>주다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">줘요</div><div class="과거">줬어요</div><div class="미래">줄 거예요</div><div class="명령법">주세요</div></div><div class="bloc"><div class="고">주고</div><div class="지만">주지만</div><div class="는데">주는데</div><div class="면">주면</div></div></div>	il donne<p class="small">(해요체, registre informel poli)</p>
[sound:줬어요.mp3]	<span class="불규칙">줬</span>어요 <span class="발음">[줘써요]</span><p class="small">(*<span class="불규칙">주었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사"><div class="높임">&#x21a1; 드리다</div>주다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">줘요</div><div class="과거">줬어요</div><div class="미래">줄 거예요</div><div class="명령법">주세요</div></div><div class="bloc"><div class="고">주고</div><div class="지만">주지만</div><div class="는데">주는데</div><div class="면">주면</div></div></div>	il donnait<p class="small">(해요체, registre informel poli)</p>
[sound:줄_거예요.mp3]	줄 거예요<div class="활용"><div class="bloc"><div class="부정사"><div class="높임">&#x21a1; 드리다</div>주다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">줘요</div><div class="과거">줬어요</div><div class="미래">줄 거예요</div><div class="명령법">주세요</div></div><div class="bloc"><div class="고">주고</div><div class="지만">주지만</div><div class="는데">주는데</div><div class="면">주면</div></div></div>	il donnera<p class="small">(해요체, registre informel poli)</p>

[sound:주문해요.mp3]	주문해요<div class="활용"><div class="bloc"><div class="부정사">주문하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">주문해요</div><div class="과거">주문했어요</div><div class="미래">주문할 거예요</div></div><div class="bloc"><div class="고">주문하고</div><div class="지만">주문하지만</div><div class="는데">주문하는데</div><div class="면">주문하면</div></div></div>	il passe commande<p class="small">(해요체, registre informel poli)</p>
[sound:주문했어요.mp3]	주문했어요<div class="활용"><div class="bloc"><div class="부정사">주문하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">주문해요</div><div class="과거">주문했어요</div><div class="미래">주문할 거예요</div></div><div class="bloc"><div class="고">주문하고</div><div class="지만">주문하지만</div><div class="는데">주문하는데</div><div class="면">주문하면</div></div></div>	il passait commande<p class="small">(해요체, registre informel poli)</p>
[sound:주문할_거예요.mp3]	주문할 거예요<div class="활용"><div class="bloc"><div class="부정사">주문하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">주문해요</div><div class="과거">주문했어요</div><div class="미래">주문할 거예요</div></div><div class="bloc"><div class="고">주문하고</div><div class="지만">주문하지만</div><div class="는데">주문하는데</div><div class="면">주문하면</div></div></div>	il passera commande<p class="small">(해요체, registre informel poli)</p>

[sound:지내요.mp3]	지<span class="불규칙">내</span>요<p class="small">(*지<span class="불규칙">내어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">지내다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">지내요</div><div class="과거">지냈어요</div><div class="미래">지낼 거예요</div></div><div class="bloc"><div class="고">지내고</div><div class="지만">지내지만</div><div class="는데">지내는데</div><div class="면">지내면</div></div></div>	il se porte, il va <span class="small">(santé)</span><p class="small">(해요체, registre informel poli)</p>
[sound:지냈어요.mp3]	지<span class="불규칙">냈</span>어요 <span class="발음">[지내써요]</span><p class="small">(*지<span class="불규칙">내었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">지내다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">지내요</div><div class="과거">지냈어요</div><div class="미래">지낼 거예요</div></div><div class="bloc"><div class="고">지내고</div><div class="지만">지내지만</div><div class="는데">지내는데</div><div class="면">지내면</div></div></div>	il se portait, il allait <span class="small">(santé)</span><p class="small">(해요체, registre informel poli)</p>
[sound:지낼_거예요.mp3]	지낼 거예요<div class="활용"><div class="bloc"><div class="부정사">지내다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">지내요</div><div class="과거">지냈어요</div><div class="미래">지낼 거예요</div></div><div class="bloc"><div class="고">지내고</div><div class="지만">지내지만</div><div class="는데">지내는데</div><div class="면">지내면</div></div></div>	il se portera, il ira <span class="small">(santé)</span><p class="small">(해요체, registre informel poli)</p>

[sound:찾아요.mp3]	찾아요 <span class="발음">[차자요]</span><div class="활용"><div class="bloc"><div class="부정사">찾다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">찾아요</div><div class="과거">찾았어요</div><div class="미래">찾을 거예요</div><div class="명령법">찾으세요</div></div><div class="bloc"><div class="고">찾고</div><div class="지만">찾지만</div><div class="는데">찾는데</div><div class="면">찾으면</div></div></div>	il cherche, il trouve<p class="small">(해요체, registre informel poli)</p>
[sound:찾았어요.mp3]	찾았어요 <span class="발음">[차자써요]</span><div class="활용"><div class="bloc"><div class="부정사">찾다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">찾아요</div><div class="과거">찾았어요</div><div class="미래">찾을 거예요</div><div class="명령법">찾으세요</div></div><div class="bloc"><div class="고">찾고</div><div class="지만">찾지만</div><div class="는데">찾는데</div><div class="면">찾으면</div></div></div>	il cherchait, il trouvait<p class="small">(해요체, registre informel poli)</p>
[sound:찾을_거예요.mp3]	찾을 거예요 <span class="발음">[차즐]</span><div class="활용"><div class="bloc"><div class="부정사">찾다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">찾아요</div><div class="과거">찾았어요</div><div class="미래">찾을 거예요</div><div class="명령법">찾으세요</div></div><div class="bloc"><div class="고">찾고</div><div class="지만">찾지만</div><div class="는데">찾는데</div><div class="면">찾으면</div></div></div>	il cherchera, il trouvera<p class="small">(해요체, registre informel poli)</p>

[sound:채워요.mp3]	채<span class="불규칙">워</span>요<p class="small">(*채<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">채우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">채워요</div><div class="과거">채웠어요</div><div class="미래">채울 거예요</div><div class="명령법">채우세요</div></div><div class="bloc"><div class="고">채우고</div><div class="지만">채우지만</div><div class="는데">채우는데</div><div class="면">채우면</div></div></div>	il remplit, il complète<p class="small">(해요체, registre informel poli)</p>
[sound:채웠어요.mp3]	채<span class="불규칙">웠</span>어요 <span class="발음">[채워써요]</span><p class="small">(*채<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">채우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">채워요</div><div class="과거">채웠어요</div><div class="미래">채울 거예요</div><div class="명령법">채우세요</div></div><div class="bloc"><div class="고">채우고</div><div class="지만">채우지만</div><div class="는데">채우는데</div><div class="면">채우면</div></div></div>	il remplissait, il complétait<p class="small">(해요체, registre informel poli)</p>
[sound:채울_거예요.mp3]	채울 거예요<p class="small">(*채<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">채우다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">채워요</div><div class="과거">채웠어요</div><div class="미래">채울 거예요</div><div class="명령법">채우세요</div></div><div class="bloc"><div class="고">채우고</div><div class="지만">채우지만</div><div class="는데">채우는데</div><div class="면">채우면</div></div></div>	il remplira, il complétera<p class="small">(해요체, registre informel poli)</p>

[sound:청소해요.mp3]	청소해요<div class="활용"><div class="bloc"><div class="부정사">청소하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">청소해요</div><div class="과거">청소했어요</div><div class="미래">청소할 거예요</div></div><div class="bloc"><div class="고">청소하고</div><div class="지만">청소하지만</div><div class="는데">청소하는데</div><div class="면">청소하면</div></div></div>	il nettoye, il fait le ménage<p class="small">(해요체, registre informel poli)</p>
[sound:청소했어요.mp3]	청소했어요<div class="활용"><div class="bloc"><div class="부정사">청소하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">청소해요</div><div class="과거">청소했어요</div><div class="미래">청소할 거예요</div></div><div class="bloc"><div class="고">청소하고</div><div class="지만">청소하지만</div><div class="는데">청소하는데</div><div class="면">청소하면</div></div></div>	il nettoyait, il faisait le ménage<p class="small">(해요체, registre informel poli)</p>
[sound:청소할_거예요.mp3]	청소할 거예요<div class="활용"><div class="bloc"><div class="부정사">청소하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">청소해요</div><div class="과거">청소했어요</div><div class="미래">청소할 거예요</div></div><div class="bloc"><div class="고">청소하고</div><div class="지만">청소하지만</div><div class="는데">청소하는데</div><div class="면">청소하면</div></div></div>	il nettoyera, il fera le ménage<p class="small">(해요체, registre informel poli)</p>

[sound:초대하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">초대하다</div><div class="불규칙">(동사)</div></div></div>	inviter<ul><li>verbe régulier</li></ul>
[sound:초대해요.mp3]	초대해요<div class="활용"><div class="bloc"><div class="부정사">초대하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">초대해요</div><div class="과거">초대했어요</div><div class="미래">초대할 거예요</div></div><div class="bloc"><div class="고">초대하고</div><div class="지만">초대하지만</div><div class="는데">초대하는데</div><div class="면">초대하면</div></div></div>	il invite<p class="small">(해요체, registre informel poli)</p>
[sound:초대했어요.mp3]	초대했어요<div class="활용"><div class="bloc"><div class="부정사">초대하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">초대해요</div><div class="과거">초대했어요</div><div class="미래">초대할 거예요</div></div><div class="bloc"><div class="고">초대하고</div><div class="지만">초대하지만</div><div class="는데">초대하는데</div><div class="면">초대하면</div></div></div>	il invitait<p class="small">(해요체, registre informel poli)</p>
[sound:초대할_거예요.mp3]	초대할 거예요<div class="활용"><div class="bloc"><div class="부정사">초대하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">초대해요</div><div class="과거">초대했어요</div><div class="미래">초대할 거예요</div></div><div class="bloc"><div class="고">초대하고</div><div class="지만">초대하지만</div><div class="는데">초대하는데</div><div class="면">초대하면</div></div></div>	il invitera<p class="small">(해요체, registre informel poli)</p>

[sound:축하해요.mp3]	축하해요 <span class="발음">[추<span style="font-weight: bold">카</span>해요]</span><div class="활용"><div class="bloc"><div class="부정사">축하하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">축하해요</div><div class="과거">축하했어요</div><div class="미래">축하할 거예요</div></div><div class="bloc"><div class="고">축하하고</div><div class="지만">축하하지만</div><div class="는데">축하하는데</div><div class="면">축하하면</div></div></div>	il félicite, il congratule<hr>il fête, il célèbre<p class="small">(해요체, registre informel poli)</p>
[sound:축하했어요.mp3]	축하했어요<p class="발음">[추<span style="font-weight: bold">카</span>해써요]</p><div class="활용"><div class="bloc"><div class="부정사">축하하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">축하해요</div><div class="과거">축하했어요</div><div class="미래">축하할 거예요</div></div><div class="bloc"><div class="고">축하하고</div><div class="지만">축하하지만</div><div class="는데">축하하는데</div><div class="면">축하하면</div></div></div>	il félicitait, il congratulait<hr>il fêtait, il célébrait<p class="small">(해요체, registre informel poli)</p>
[sound:축하할_거예요.mp3]	축하할 거예요<p class="발음">[추<span style="font-weight: bold">카</span>할]</p><div class="활용"><div class="bloc"><div class="부정사">축하하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">축하해요</div><div class="과거">축하했어요</div><div class="미래">축하할 거예요</div></div><div class="bloc"><div class="고">축하하고</div><div class="지만">축하하지만</div><div class="는데">축하하는데</div><div class="면">축하하면</div></div></div>	il félicitera, il congratulera<hr>il fêtera, il célébrera<p class="small">(해요체, registre informel poli)</p>

[sound:친절해요.mp3]	친절해요<div class="활용"><div class="bloc"><div class="부정사">친절하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">친절해요</div><div class="과거">친절했어요</div><div class="미래">친절할 거예요</div></div><div class="bloc"><div class="고">친절하고</div><div class="지만">친절하지만</div><div class="는데">친절한데</div><div class="면">친절하면</div></div></div>	il est gentil<p class="small">il est amical, aimable</p><p class="small">(해요체, registre informel poli)</p>
[sound:친절했어요.mp3]	친절했어요<div class="활용"><div class="bloc"><div class="부정사">친절하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">친절해요</div><div class="과거">친절했어요</div><div class="미래">친절할 거예요</div></div><div class="bloc"><div class="고">친절하고</div><div class="지만">친절하지만</div><div class="는데">친절한데</div><div class="면">친절하면</div></div></div>	il était gentil<p class="small">il était amical, aimable</p><p class="small">(해요체, registre informel poli)</p>
[sound:친절할_거예요.mp3]	친절할 거예요<div class="활용"><div class="bloc"><div class="부정사">친절하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">친절해요</div><div class="과거">친절했어요</div><div class="미래">친절할 거예요</div></div><div class="bloc"><div class="고">친절하고</div><div class="지만">친절하지만</div><div class="는데">친절한데</div><div class="면">친절하면</div></div></div>	il sera gentil<p class="small">il sera amical, aimable</p><p class="small">(해요체, registre informel poli)</p>

[sound:크다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">크다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div></div><p class="small">(&ne;&nbsp;작다)</p>	être grand<p class="small">(&ne;&nbsp;être petit)</p><ul><li>adjectif irrégulier en “으”&nbsp;: ㅡ disparaît devant voyelle</li></ul>
[sound:커요.mp3]	<span class="불규칙">커</span>요<p class="small">(*<span class="불규칙">ㅋ어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">크다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">커요</div><div class="과거">컸어요</div><div class="미래">클 거예요</div></div><div class="bloc"><div class="고">크고</div><div class="지만">크지만</div><div class="는데">큰데</div><div class="면">크면</div></div></div>	il est grand<p class="small">(해요체, registre informel poli)</p>
[sound:컸어요.mp3]	<span class="불규칙">컸</span>어요 <span class="발음">[커써요]</span><p class="small">(*<span class="불규칙">ㅋ었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">크다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">커요</div><div class="과거">컸어요</div><div class="미래">클 거예요</div></div><div class="bloc"><div class="고">크고</div><div class="지만">크지만</div><div class="는데">큰데</div><div class="면">크면</div></div></div>	il était grand<p class="small">(해요체, registre informel poli)</p>
[sound:클_거예요.mp3]	클 거예요<div class="활용"><div class="bloc"><div class="부정사">크다</div><div class="불규칙">(“으” 불규칙 형용사)</div></div><div class="bloc"><div class="현재">커요</div><div class="과거">컸어요</div><div class="미래">클 거예요</div></div><div class="bloc"><div class="고">크고</div><div class="지만">크지만</div><div class="는데">큰데</div><div class="면">크면</div></div></div>	il sera grand<p class="small">(해요체, registre informel poli)</p>

[sound:타요.mp3]	<span class="불규칙">타</span>요<p class="small">(*<span class="불규칙">타아</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">타다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">타요</div><div class="과거">탔어요</div><div class="미래">탈 거예요</div><div class="명령법">타세요</div></div><div class="bloc"><div class="고">타고</div><div class="지만">타지만</div><div class="는데">타는데</div><div class="면">타면</div></div></div>	il monte<p class="small">(dans un véhicule)</p><hr/>il prend <p class="small">(un moyen de transport)</p><p class="small">(해요체, registre informel poli)</p>
[sound:탔어요.mp3]	<span class="불규칙">탔</span>어요 <span class="발음">[타써요]</span><p class="small">(*<span class="불규칙">타았</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">타다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">타요</div><div class="과거">탔어요</div><div class="미래">탈 거예요</div><div class="명령법">타세요</div></div><div class="bloc"><div class="고">타고</div><div class="지만">타지만</div><div class="는데">타는데</div><div class="면">타면</div></div></div>	il montait<p class="small">(dans un véhicule)</p><hr/>il prenait <p class="small">(un moyen de transport)</p><p class="small">(해요체, registre informel poli)</p>
