tags: darakwon 16-과

[sound:색.mp3]	색<ul><span style="color:black">&#9633;</span>&nbsp;하얀색 / 흰색<br><span style="color:yellow">&#9632;</span>&nbsp;노란색<br><span style="color:green">&#9632;</span>&nbsp;녹색<br><span style="color:blue">&#9632;</span>&nbsp;파란색<br><span style="color:red">&#9632;</span>&nbsp;빨간색<br><span style="color:pink">&#9632;</span>&nbsp;분홍색<br><span style="color:orange">&#9632;</span>&nbsp;주황색<br><span style="color:purple">&#9632;</span>&nbsp;보라색<br><span style="color:brown">&#9632;</span>&nbsp;갈색<br><span style="color:grey">&#9632;</span>&nbsp;회색<br><span style="color:black">&#9632;</span>&nbsp;까만색 / 검은색</ul>	couleur
[sound:아_어_보다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">-아 /-어 /-해 보다</div></div></div><hr/><div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">-(으)ㄴ 적이 있다 / 없다</div><div class="불규칙">-아 /-어 /-해 본 적이 있다 / 없다</div></div></div>	essayer de, avoir l'expérience de<p class="small">(faire qq chose)</p><p class="small" style="font-weight: bold">&mdash;&nbsp;expression de la tentative, de l'expérience&nbsp;&mdash;</p><ul><li>s'emploie avec des verbes d'action uniquement</li><br>&mdash;&nbsp;대학 입학 후에 소개팅을 한 적이 있어요?<br>&mdash;&nbsp;<span style="font-style: italic">Avez-vous déjà eu un rendez-vous à l'aveugle après votre entrée à l'université&nbsp;?</span><br><br>&mdash;&nbsp;제가 언제 거짓말한 적이 있어요?<br>&mdash;&nbsp;<span style="font-style: italic">Quand ai-je déjà menti&nbsp;?</span><br><br><li>s'emploie souvent à l'impératif pour adoucir un ordre sous la forme d'une proposition, d'une suggestion</li><br>&mdash;&nbsp;한번 입어 보세요.<br>&mdash;&nbsp;<span style="font-style: italic">Essayez-le / Essayez-en un <span class="light">(une fois)</span>.</span><br><br>&mdash;&nbsp;하얀색 티셔츠를 한번 입어 보실래요?<br>&mdash;&nbsp;<span style="font-style: italic">Que diriez-vous d'essayer un t-shirt blanc&nbsp;?</span><br><br><li>s'emploie au passé (-아/어 봤어요) pour indiquer si quelqu'un a <span class="em">déjà essayé</span> (au moins une fois) de faire quelque chose&nbsp;; on emploie <span class="em">못 V-아/어 봤어요</span> pour exprimer le fait de ne <span class="em">jamais avoir essayé</span></li><br>&mdash;&nbsp;병원에 가 보셨어요?<br>&mdash;&nbsp;<span style="font-style: italic">Avez-vous essayé d'aller à l'hôpital&nbsp;?</span><br><br>&mdash;&nbsp;내 인도 친구는 한국에 와서 처음으로 김치를 먹어 봤어요.<br>&mdash;&nbsp;<span style="font-style: italic">Mon ami indien est venu en Corée et a essayé le kimchi pour la première fois.</span><br><br><li>les 2 solutions (&#10102;/&#10103;) sont souvent combinées (&#10104;)</li><br>&mdash;&nbsp;&hellip; 가 본 적이 있어요?<br>&mdash;&nbsp;<span style="font-style: italic">Es-tu déjà allé &hellip;&nbsp;?</span><br><br>&mdash;&nbsp;저는 중국에 가 본 적이 있습니다.<br>&mdash;&nbsp;<span style="font-style: italic">J'ai déjà été en Chine.</span><br><br>&mdash;&nbsp;도서관에는 내가 읽어 본 적 없는 책들이 가득했어요.<br>&mdash;&nbsp;<span style="font-style: italic">La bibliothèque était pleine de livres que je n'avais jamais lus.</span></ul>

[sound:보다_더_덜.mp3]	N-보다 <span class="small light">(더/덜)</span>	par rapport à<p class="small" style="font-weight: bold">&mdash;&nbsp;comparatif&nbsp;&mdash;</p><ul><li>suffixe nominal introduisant la <span class="em">comparaison</span> suivi de <span class="em">더</span> (plus) ou <span class="em">덜</span> (moins)</li><br><li>l'adverbe <span class="em">더</span> (plus) introduit une relation de supériorité&nbsp;; il est facultatif</li><br><li>l'adverbe <span class="em">덜</span> (moins) introduit une relation d'infériorité&nbsp;; il est obligatoire</li><br><li>on peut remplacer 보다 (par rapport à) par <span class="em">중에</span> (entre)</li><br>&mdash;&nbsp;비행기는 자동차보다 더 빨라요.<br>&mdash;&nbsp;<span style="font-style: italic">L'avion est plus rapide que la voiture.</span><br><br>&mdash;&nbsp;자동차는 비행기보다 덜 빨라요.<br>&mdash;&nbsp;<span style="font-style: italic">La voiture est moins rapide que l'avion.</span><br><br>&mdash;&nbsp;나는 고기보다 생선을 좋아해요.<br>&mdash;&nbsp;<span style="font-style: italic">Je préfère le poisson à la viande.</span><br><br>&mdash;&nbsp;민수와 수미 중에 누가 더 커요? &mdash;&nbsp;수미가 더 커요.<br>&mdash;&nbsp;<span style="font-style: italic">Qui est la plus grande entre Minsu et Sumi&nbsp;? &mdash;&nbsp;Sumi est plus grande.</span></ul>
[sound:더.mp3]	더 <span class="small">(&ne;&nbsp;덜)</span>	plus, encore <span class="small">(&ne;&nbsp;moins)</span><p class="small" style="font-weight: bold">&mdash;&nbsp;comparatif&nbsp;&mdash;</p><ul><li>l'adverbe <span class="em">더</span> (plus) introduit une relation de supériorité&nbsp;; il est facultatif</li><br>&mdash;&nbsp;이 하얀색 구두가 파란색 구두보다 더 예쁘네요.<br>&mdash;&nbsp;<span style="font-style: italic">Ces chaussures blanches sont plus jolies que les bleues&nbsp;!</span><br><br>&mdash;&nbsp;회색 티셔츠보다 파란색 남방이 더 어울려요.<br>&mdash;&nbsp;<span style="font-style: italic">La chemise bleue est plus seyante que le t-shirt gris.</span><br><br>&mdash;&nbsp;노란색 목도리보다 빨간색 목도리가 작아요.<br>&mdash;&nbsp;<span style="font-style: italic">L'écharpe rouge est plus petite que la jaune.</span><br><br>&mdash;&nbsp;어느 넥타이가 더 멋있어요?<br>&mdash;&nbsp;<span style="font-style: italic">Quelle cravate est la plus sympa&nbsp;?</span><br><br>&mdash;&nbsp;비행기는 자동차보다 더 빨라요.<br>&mdash;&nbsp;<span style="font-style: italic">L'avion est plus rapide que la voiture.</span><br><br>&mdash;&nbsp;나는 고기보다 생선을 좋아해요.<br>&mdash;&nbsp;<span style="font-style: italic">Je préfère le poisson à la viande.</span><br><br>&mdash;&nbsp;민수와 수미 중에 누가 더 커요? &mdash;&nbsp;수미가 더 커요.<br>&mdash;&nbsp;<span style="font-style: italic">Qui est la plus grande entre Minsu et Sumi&nbsp;? &mdash;&nbsp;Sumi est plus grande.</span></ul>
[sound:덜.mp3]	덜 <span class="small">(&ne;&nbsp;더)</span>	moins <span class="small">(&ne;&nbsp;plus)</span><p class="small" style="font-weight: bold">&mdash;&nbsp;comparatif&nbsp;&mdash;</p><ul><li>l'adverbe <span class="em">덜</span> (moins) introduit une relation d'infériorité&nbsp;; il est obligatoire</li><br>&mdash;&nbsp;자동차는 비행기보다 덜 빨라요.<br>&mdash;&nbsp;<span style="font-style: italic">La voiture est moins rapide que l'avion.</span></ul>

[sound:비행기는_자동차보다_더_빨라요.mp3]	<ul>비행기는 자동차보다 더 빨라요.</ul>	<ul>L'avion est plus rapide que la voiture.</ul>
[sound:자동차는_비행기보다_덜_빨라요.mp3]	<ul>자동차는 비행기보다 덜 빨라요.</ul>	<ul>La voiture est moins rapide que l'avion.</ul>
[sound:나는_고기보다_생선을_좋아해요.mp3]	<ul>나는 고기보다 생선을 좋아해요.</ul>	<ul>Je préfère le poisson à la viande.</ul>
[sound:민수와_수미_중에_누가_더_커요.mp3]	<ul><li>민수와 수미 중에 누가 더 커요?</li><li>수미가 더 커요.</li></ul>	<ul><li>Qui est la plus grande entre Minsu et Sumi&nbsp;?</li><li>Sumi est plus grande.</li></ul>


[sound:제일_가장.mp3]	제일 / 가장	le plus<p class="small" style="font-weight: bold">&mdash;&nbsp;superlatif&nbsp;&mdash;</p><ul><li>le superlatif s'exprime indifféremment avec les adverbes 제일 et 가장</li><br><li>제일 peut s'accompagner de verbes d'appréciation tels que 좋아하다 (aimer) et 싫어하다 (détester)</li><br><li>on utilise <span class="em">중에서</span> (parmi) quand la comparaison s'opère au sein d'un ensemble, d'un groupe</li><br><li>on utilise <span class="em">-에서</span> quand la comparaison s'opère dans un espace géographique </li><br>&mdash;&nbsp;이 가게에서 검은색 구두가 제일 예쁘지만 너무 비싸요.<br>&mdash;&nbsp;<span style="font-style: italic">Les chaussures noires sont les plus jolies de ce magasin, mais elles sont trop chères.</span><br><br>&mdash;&nbsp;이 운동화가 제일 비싸네요.<br>&mdash;&nbsp;<span style="font-style: italic">Ces baskets sont les plus chères&nbsp;!</span><br><br>&mdash;&nbsp;그게 제일 비싸요.<br>&mdash;&nbsp;<span style="font-style: italic">Celui-là est le plus cher.</span><br><br>&mdash;&nbsp;이 책이 가장 재미있어요.<br>&mdash;&nbsp;<span style="font-style: italic">Ce livre-ci est le plus intéressant.</span><br><br>&mdash;&nbsp;나는 테니스를 제일 좋아해요.<br>&mdash;&nbsp;<span style="font-style: italic">J'aime le tennis plus que tout.</span><br><br>&mdash;&nbsp;우리 중에서 레오가 제일 커요.<br>&mdash;&nbsp;<span style="font-style: italic">Léo est le plus grand d'entre nous.</span><br><br>&mdash;&nbsp;한국에서 제일 높은 산이 뭐예요?<br>&mdash;&nbsp;<span style="font-style: italic">Quelle est la montagne la plus haute de Corée&nbsp;?</span><br><br>&mdash;&nbsp;우리 학교에서 미나가 공부를 제일 잘해요.<br>&mdash;&nbsp;<span style="font-style: italic">Mina travaille le mieux dans notre école.</span></ul>

[sound:이_책이_가장_재미있어요.mp3]	<ul>이 책이 가장 재미있어요.</ul>	<ul>Ce livre-ci est le plus intéressant.</ul>
[sound:나는_테니스를_제일_좋아해요.mp3]	<ul>나는 테니스를 제일 좋아해요.</ul>	<ul>J'aime le tennis plus que tout.</ul>
[sound:우리_중에서_레오가_제일_커요.mp3]	<ul>우리 중에서 레오가 제일 커요.</ul>	<ul>Léo est le plus grand d'entre nous.</ul>
[sound:한국에서_제일_높은_산이_뭐예요.mp3]	<ul>한국에서 제일 높은 산이 뭐예요?</ul>	<ul>Quelle est la montagne la plus haute de Corée&nbsp;?</ul>
[sound:우리_학교에서_미나가_공부를_제일_잘해요.mp3]	<ul>우리 학교에서 미나가 공부를 제일 잘해요.</ul>	<ul>Mina travaille le mieux dans notre école.</ul>



[sound:어울리다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%"><span class="small">(N-하고)</span> 어울리다</div><div class="불규칙">(동사)</div></div></div>	seoir, aller <span class="small">(avec)</span>, convenir, s'accorder<p class="small">(vêtements)</p><hr/>s'entendre <span class="small">(avec d'autres personnes)</span><ul><li>verbe régulier</li><br><li>Synonyme&nbsp;: <span class="em">맞다</span> (seoir, aller, convenir)</li></ul>
[sound:어울립니다.mp3]	어울립니다<p class="발음">[어울<span style="font-weight: bold">림</span>니다]</p><hr/>어울리십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">어울리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">어울리십니다</div>어울립니다</div><div class="해요체"><div class="높임">어울리세요</div>어울려요</div></div><div class="과거"><div class="하십시오체"><div class="높임">어울리셨습니다</div>어울렸습니다</div><div class="해요체"><div class="높임">어울리셨어요</div>어울렸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">어울리실 겁니다</div>어울릴 겁니다</div><div class="해요체"><div class="높임">어울리실 거예요</div>어울릴 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">어울리시고</div>어울리고</div><div class="지만"><div class="높임">어울리시지만</div>어울리지만</div><div class="는데"><div class="높임">어울리시는데</div>어울리는데</div><div class="면"><div class="높임">어울리시면</div>어울리면</div><div class="서"><div class="높임">어울리셔서</div>어울려서</div></div></div>	il sied, il va, il convient, il s'accorde<hr/>il s'entend <span class="small">(avec)</span><p class="small">(하십시오체, registre formel poli)</p>
[sound:어울려요.mp3]	어울<span class="불규칙">려</span>요<p class="small">(*어울<span class="불규칙">리어</span>요)</p><hr/>어울리세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">어울리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">어울리십니다</div>어울립니다</div><div class="해요체"><div class="높임">어울리세요</div>어울려요</div></div><div class="과거"><div class="하십시오체"><div class="높임">어울리셨습니다</div>어울렸습니다</div><div class="해요체"><div class="높임">어울리셨어요</div>어울렸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">어울리실 겁니다</div>어울릴 겁니다</div><div class="해요체"><div class="높임">어울리실 거예요</div>어울릴 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">어울리시고</div>어울리고</div><div class="지만"><div class="높임">어울리시지만</div>어울리지만</div><div class="는데"><div class="높임">어울리시는데</div>어울리는데</div><div class="면"><div class="높임">어울리시면</div>어울리면</div><div class="서"><div class="높임">어울리셔서</div>어울려서</div></div></div>	il sied, il va, il convient, il s'accorde<hr/>il s'entend <span class="small">(avec)</span><p class="small">(해요체, registre informel poli)</p>
[sound:어울렸어요.mp3]	어울<span class="불규칙">렸</span>어요<p class="발음">[어울려써요]</p><p class="small">(*어울<span class="불규칙">리었</span>어요)</p><hr/>어울리셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">어울리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">어울리십니다</div>어울립니다</div><div class="해요체"><div class="높임">어울리세요</div>어울려요</div></div><div class="과거"><div class="하십시오체"><div class="높임">어울리셨습니다</div>어울렸습니다</div><div class="해요체"><div class="높임">어울리셨어요</div>어울렸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">어울리실 겁니다</div>어울릴 겁니다</div><div class="해요체"><div class="높임">어울리실 거예요</div>어울릴 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">어울리시고</div>어울리고</div><div class="지만"><div class="높임">어울리시지만</div>어울리지만</div><div class="는데"><div class="높임">어울리시는데</div>어울리는데</div><div class="면"><div class="높임">어울리시면</div>어울리면</div><div class="서"><div class="높임">어울리셔서</div>어울려서</div></div></div>	il seyait, il allait, il convenait, il s'accordait<hr/>il s'entendait <span class="small">(avec)</span><p class="small">(해요체, registre informel poli)</p>
[sound:어울릴_거예요.mp3]	어울릴 거예요<hr/>어울리실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">어울리다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">어울리십니다</div>어울립니다</div><div class="해요체"><div class="높임">어울리세요</div>어울려요</div></div><div class="과거"><div class="하십시오체"><div class="높임">어울리셨습니다</div>어울렸습니다</div><div class="해요체"><div class="높임">어울리셨어요</div>어울렸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">어울리실 겁니다</div>어울릴 겁니다</div><div class="해요체"><div class="높임">어울리실 거예요</div>어울릴 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">어울리시고</div>어울리고</div><div class="지만"><div class="높임">어울리시지만</div>어울리지만</div><div class="는데"><div class="높임">어울리시는데</div>어울리는데</div><div class="면"><div class="높임">어울리시면</div>어울리면</div><div class="서"><div class="높임">어울리셔서</div>어울려서</div></div></div>	il siéra, il ira, il conviendra, il s'accordera<hr/>il s'entendra <span class="small">(avec)</span><p class="small">(해요체, registre informel poli)</p>


[sound:작다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">작다 <span class="발음">[작<span style="font-weight: bold">따</span>]</span></div><div class="불규칙">(형용사)</div></div></div><p class="small">(&ne;&nbsp;크다)</p>	être petit<p class="small">(&ne;&nbsp;être grand)</p><ul><li>adjectif régulier</li></ul>
[sound:작습니다.mp3]	작습니다 <span class="발음">[작<span style="font-weight: bold">씀</span>니다]</span><hr/>작으십니다<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">작다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">작으십니다</div>작습니다</div><div class="해요체"><div class="높임">작으세요</div>작아요</div></div><div class="과거"><div class="하십시오체"><div class="높임">작으셨습니다</div>작았습니다</div><div class="해요체"><div class="높임">작으셨어요</div>작았어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">작으실 겁니다</div>작을 겁니다</div><div class="해요체"><div class="높임">작으실 거예요</div>작을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">작으시고</div>작고</div><div class="지만"><div class="높임">작으시지만</div>작지만</div><div class="는데"><div class="높임">작으신데</div>작은데</div><div class="면"><div class="높임">작으시면</div>작으면</div><div class="서"><div class="높임">작으셔서</div>작아서</div></div></div>	il est petit<p class="small">(하십시오체, registre formel poli)</p>
[sound:작아요.mp3]	작아요 <span class="발음">[자가요]</span><hr/>작으세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">작다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">작으십니다</div>작습니다</div><div class="해요체"><div class="높임">작으세요</div>작아요</div></div><div class="과거"><div class="하십시오체"><div class="높임">작으셨습니다</div>작았습니다</div><div class="해요체"><div class="높임">작으셨어요</div>작았어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">작으실 겁니다</div>작을 겁니다</div><div class="해요체"><div class="높임">작으실 거예요</div>작을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">작으시고</div>작고</div><div class="지만"><div class="높임">작으시지만</div>작지만</div><div class="는데"><div class="높임">작으신데</div>작은데</div><div class="면"><div class="높임">작으시면</div>작으면</div><div class="서"><div class="높임">작으셔서</div>작아서</div></div></div>	il est petit<p class="small">(해요체, registre informel poli)</p>
[sound:작았어요.mp3]	작았어요 <span class="발음">[자가써요]</span><hr/>작으셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">작다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">작으십니다</div>작습니다</div><div class="해요체"><div class="높임">작으세요</div>작아요</div></div><div class="과거"><div class="하십시오체"><div class="높임">작으셨습니다</div>작았습니다</div><div class="해요체"><div class="높임">작으셨어요</div>작았어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">작으실 겁니다</div>작을 겁니다</div><div class="해요체"><div class="높임">작으실 거예요</div>작을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">작으시고</div>작고</div><div class="지만"><div class="높임">작으시지만</div>작지만</div><div class="는데"><div class="높임">작으신데</div>작은데</div><div class="면"><div class="높임">작으시면</div>작으면</div><div class="서"><div class="높임">작으셔서</div>작아서</div></div></div>	il était petit<p class="small">(해요체, registre informel poli)</p>
[sound:작을_거예요.mp3]	작을 거예요 <span class="발음">[자글]</span><hr/>작으실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">작다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">작으십니다</div>작습니다</div><div class="해요체"><div class="높임">작으세요</div>작아요</div></div><div class="과거"><div class="하십시오체"><div class="높임">작으셨습니다</div>작았습니다</div><div class="해요체"><div class="높임">작으셨어요</div>작았어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">작으실 겁니다</div>작을 겁니다</div><div class="해요체"><div class="높임">작으실 거예요</div>작을 거예요</div></div></div><div class="bloc"><div class="고"><div class="높임">작으시고</div>작고</div><div class="지만"><div class="높임">작으시지만</div>작지만</div><div class="는데"><div class="높임">작으신데</div>작은데</div><div class="면"><div class="높임">작으시면</div>작으면</div><div class="서"><div class="높임">작으셔서</div>작아서</div></div></div>	il sera petit<p class="small">(해요체, registre informel poli)</p>

[sound:걸어요.mp3]	<span class="불규칙">걸</span>어요 <span class="발음">[거러요]</span><hr/><span class="불규칙">걸</span>으세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">걷다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">걸으십니다</div>걷습니다</div><div class="해요체"><div class="높임">걸으세요</div>걸어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">걸으셨습니다</div>걸었습니다</div><div class="해요체"><div class="높임">걸으셨어요</div>걸었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">걸으실 겁니다</div>걸을 겁니다</div><div class="해요체"><div class="높임">걸으실 거예요</div>걸을 거예요</div></div><div class="명령법">걸으세요</div></div><div class="bloc"><div class="고"><div class="높임">걸으시고</div>걷고</div><div class="지만"><div class="높임">걸으시지만</div>걷지만</div><div class="는데"><div class="높임">걸으시는데</div>걷는데</div><div class="면"><div class="높임">걸으시면</div>걸으면</div><div class="서"><div class="높임">걸으셔서</div>걸어서</div></div></div>	il marche<p class="small">(해요체, registre informel poli)</p><ul><li>Homographe&nbsp;: 걸어요 / 거세요 (il pend, il suspend)</li><li>Attention à ne pas confondre [거러] avec [걸려]&nbsp;: 걸려요 (il prend le temps)</li></ul>
[sound:걸었어요.mp3]	<span class="불규칙">걸</span>었어요 <span class="발음">[거러써요]</span><hr/><span class="불규칙">걸</span>으셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">걷다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">걸으십니다</div>걷습니다</div><div class="해요체"><div class="높임">걸으세요</div>걸어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">걸으셨습니다</div>걸었습니다</div><div class="해요체"><div class="높임">걸으셨어요</div>걸었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">걸으실 겁니다</div>걸을 겁니다</div><div class="해요체"><div class="높임">걸으실 거예요</div>걸을 거예요</div></div><div class="명령법">걸으세요</div></div><div class="bloc"><div class="고"><div class="높임">걸으시고</div>걷고</div><div class="지만"><div class="높임">걸으시지만</div>걷지만</div><div class="는데"><div class="높임">걸으시는데</div>걷는데</div><div class="면"><div class="높임">걸으시면</div>걸으면</div><div class="서"><div class="높임">걸으셔서</div>걸어서</div></div></div>	il marchait<p class="small">(해요체, registre informel poli)</p><ul><li>Homographe&nbsp;: 걸었어요 / 거셨어요 (il pendait, il suspendait)</li><li>Attention à ne pas confondre [거러] avec [걸려]&nbsp;: 걸렸어요 (il prenait le temps)</li></ul>

[sound:들어요.mp3]	<span class="불규칙">들</span>어요 <span class="발음">[드러요]</span><hr/><span class="불규칙">들</span>으세요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">듣다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">들으십니다</div>듣습니다</div><div class="해요체"><div class="높임">들으세요</div>들어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">들으셨습니다</div>들었습니다</div><div class="해요체"><div class="높임">들으셨어요</div>들었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">들으실 겁니다</div>들을 겁니다</div><div class="해요체"><div class="높임">들으실 거예요</div>들을 거예요</div></div><div class="명령법">들으세요</div></div><div class="bloc"><div class="고"><div class="높임">들으시고</div>듣고</div><div class="지만"><div class="높임">들으시지만</div>듣지만</div><div class="는데"><div class="높임">들으시는데</div>듣는데</div><div class="면"><div class="높임">들으시면</div>들으면</div><div class="서"><div class="높임">들으셔서</div>들어서</div></div></div>	il entend, il écoute<p class="small">(해요체, registre informel poli)</p><ul><li>Homographe&nbsp;: 들어요 / 드세요 (il entre, il imprègne, il infiltre / il tient (à la main), il saisit)</li></ul>
[sound:들었어요.mp3]	<span class="불규칙">들</span>었어요 <span class="발음">[드러써요]</span><hr/><span class="불규칙">들</span>으셨어요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">듣다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">들으십니다</div>듣습니다</div><div class="해요체"><div class="높임">들으세요</div>들어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">들으셨습니다</div>들었습니다</div><div class="해요체"><div class="높임">들으셨어요</div>들었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">들으실 겁니다</div>들을 겁니다</div><div class="해요체"><div class="높임">들으실 거예요</div>들을 거예요</div></div><div class="명령법">들으세요</div></div><div class="bloc"><div class="고"><div class="높임">들으시고</div>듣고</div><div class="지만"><div class="높임">들으시지만</div>듣지만</div><div class="는데"><div class="높임">들으시는데</div>듣는데</div><div class="면"><div class="높임">들으시면</div>들으면</div><div class="서"><div class="높임">들으셔서</div>들어서</div></div></div>	il entendait, il écoutait<p class="small">(해요체, registre informel poli)</p><ul><li>Homographe&nbsp;: 들었어요 / 드셨어요 (il entrait, il imprégnait, il infiltrait / il tenait (à la main), il saisissait)</li></ul>
[sound:들을_거예요.mp3]	<span class="불규칙">들</span>을 거예요 <span class="발음">[드를]</span><hr/><span class="불규칙">들</span>으실 거예요<p class="fr small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">듣다</div><div class="불규칙">(“ㄷ” 불규칙 동사)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">들으십니다</div>듣습니다</div><div class="해요체"><div class="높임">들으세요</div>들어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">들으셨습니다</div>들었습니다</div><div class="해요체"><div class="높임">들으셨어요</div>들었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">들으실 겁니다</div>들을 겁니다</div><div class="해요체"><div class="높임">들으실 거예요</div>들을 거예요</div></div><div class="명령법">들으세요</div></div><div class="bloc"><div class="고"><div class="높임">들으시고</div>듣고</div><div class="지만"><div class="높임">들으시지만</div>듣지만</div><div class="는데"><div class="높임">들으시는데</div>듣는데</div><div class="면"><div class="높임">들으시면</div>들으면</div><div class="서"><div class="높임">들으셔서</div>들어서</div></div></div>	il entendra, il écoutera<p class="small">(해요체, registre informel poli)</p><ul><li>Attention à ne pas confondre avec 들을 / 드실 거예요 (il entrera, il imprégnera, il infiltrera / il tiendra (à la main), il saisira)</li></ul>


